pH,xtc_file,avg_hbonds
6.50,pH_6.50pH_6.50_1.xtc,138.27272727272728
6.50,pH_6.50pH_6.50_2.xtc,142.0
6.50,pH_6.50pH_6.50_3.xtc,144.54545454545453
6.50,pH_6.50pH_6.50_4.xtc,144.36363636363637
6.50,pH_6.50pH_6.50_5.xtc,144.36363636363637
6.50,pH_6.50pH_6.50_6.xtc,141.8181818181818
6.50,pH_6.50pH_6.50_7.xtc,138.63636363636363
6.50,pH_6.50pH_6.50_8.xtc,139.8181818181818
6.50,pH_6.50pH_6.50_9.xtc,140.36363636363637
6.50,pH_6.50pH_6.50_10.xtc,141.72727272727272
6.50,pH_6.50pH_6.50_11.xtc,143.1818181818182
6.50,pH_6.50pH_6.50_12.xtc,140.27272727272728
6.50,pH_6.50pH_6.50_13.xtc,139.8181818181818
6.50,pH_6.50pH_6.50_14.xtc,142.8181818181818
6.50,pH_6.50pH_6.50_15.xtc,144.0
6.50,pH_6.50pH_6.50_16.xtc,140.27272727272728
6.50,pH_6.50pH_6.50_17.xtc,134.36363636363637
6.50,pH_6.50pH_6.50_18.xtc,136.27272727272728
6.50,pH_6.50pH_6.50_19.xtc,140.27272727272728
6.50,pH_6.50pH_6.50_20.xtc,140.45454545454547
7.00,pH_7.00pH_7.00_1.xtc,143.45454545454547
7.00,pH_7.00pH_7.00_2.xtc,142.9090909090909
7.00,pH_7.00pH_7.00_3.xtc,142.8181818181818
7.00,pH_7.00pH_7.00_4.xtc,139.0909090909091
7.00,pH_7.00pH_7.00_5.xtc,143.9090909090909
7.00,pH_7.00pH_7.00_6.xtc,144.63636363636363
7.00,pH_7.00pH_7.00_7.xtc,140.45454545454547
7.00,pH_7.00pH_7.00_8.xtc,143.0909090909091
7.00,pH_7.00pH_7.00_9.xtc,144.0909090909091
7.00,pH_7.00pH_7.00_10.xtc,141.8181818181818
7.00,pH_7.00pH_7.00_11.xtc,137.0
7.00,pH_7.00pH_7.00_12.xtc,137.45454545454547
7.00,pH_7.00pH_7.00_13.xtc,138.36363636363637
7.00,pH_7.00pH_7.00_14.xtc,139.72727272727272
7.00,pH_7.00pH_7.00_15.xtc,138.0909090909091
7.00,pH_7.00pH_7.00_16.xtc,137.72727272727272
7.00,pH_7.00pH_7.00_17.xtc,136.45454545454547
7.00,pH_7.00pH_7.00_18.xtc,136.8181818181818
7.00,pH_7.00pH_7.00_19.xtc,135.72727272727272
7.00,pH_7.00pH_7.00_20.xtc,139.36363636363637
7.50,pH_7.50pH_7.50_1.xtc,142.54545454545453
7.50,pH_7.50pH_7.50_2.xtc,143.1818181818182
7.50,pH_7.50pH_7.50_3.xtc,141.8181818181818
7.50,pH_7.50pH_7.50_4.xtc,142.72727272727272
7.50,pH_7.50pH_7.50_5.xtc,138.36363636363637
7.50,pH_7.50pH_7.50_6.xtc,141.54545454545453
7.50,pH_7.50pH_7.50_7.xtc,141.1818181818182
7.50,pH_7.50pH_7.50_8.xtc,139.1818181818182
7.50,pH_7.50pH_7.50_9.xtc,140.63636363636363
7.50,pH_7.50pH_7.50_10.xtc,140.8181818181818
7.50,pH_7.50pH_7.50_11.xtc,138.0
7.50,pH_7.50pH_7.50_12.xtc,140.45454545454547
7.50,pH_7.50pH_7.50_13.xtc,138.0
7.50,pH_7.50pH_7.50_14.xtc,139.45454545454547
7.50,pH_7.50pH_7.50_15.xtc,138.36363636363637
7.50,pH_7.50pH_7.50_16.xtc,139.8181818181818
7.50,pH_7.50pH_7.50_17.xtc,140.9090909090909
7.50,pH_7.50pH_7.50_18.xtc,139.63636363636363
7.50,pH_7.50pH_7.50_19.xtc,138.9090909090909
7.50,pH_7.50pH_7.50_20.xtc,139.27272727272728
8.00,pH_8.00pH_8.00_1.xtc,140.36363636363637
8.00,pH_8.00pH_8.00_2.xtc,141.0909090909091
8.00,pH_8.00pH_8.00_3.xtc,147.27272727272728
8.00,pH_8.00pH_8.00_4.xtc,143.45454545454547
8.00,pH_8.00pH_8.00_5.xtc,140.72727272727272
8.00,pH_8.00pH_8.00_6.xtc,140.1818181818182
8.00,pH_8.00pH_8.00_7.xtc,145.45454545454547
8.00,pH_8.00pH_8.00_8.xtc,148.72727272727272
8.00,pH_8.00pH_8.00_9.xtc,147.54545454545453
8.00,pH_8.00pH_8.00_10.xtc,151.27272727272728
8.00,pH_8.00pH_8.00_11.xtc,151.0
8.00,pH_8.00pH_8.00_12.xtc,147.27272727272728
8.00,pH_8.00pH_8.00_13.xtc,149.63636363636363
8.00,pH_8.00pH_8.00_14.xtc,147.1818181818182
8.00,pH_8.00pH_8.00_15.xtc,146.27272727272728
8.00,pH_8.00pH_8.00_16.xtc,147.54545454545453
8.00,pH_8.00pH_8.00_17.xtc,147.54545454545453
8.00,pH_8.00pH_8.00_18.xtc,146.63636363636363
8.00,pH_8.00pH_8.00_19.xtc,142.45454545454547
8.00,pH_8.00pH_8.00_20.xtc,146.1818181818182
8.50,pH_8.50pH_8.50_1.xtc,144.54545454545453
8.50,pH_8.50pH_8.50_2.xtc,143.27272727272728
8.50,pH_8.50pH_8.50_3.xtc,147.36363636363637
8.50,pH_8.50pH_8.50_4.xtc,148.36363636363637
8.50,pH_8.50pH_8.50_5.xtc,142.1818181818182
8.50,pH_8.50pH_8.50_6.xtc,141.1818181818182
8.50,pH_8.50pH_8.50_7.xtc,140.63636363636363
8.50,pH_8.50pH_8.50_8.xtc,141.0
8.50,pH_8.50pH_8.50_9.xtc,141.27272727272728
8.50,pH_8.50pH_8.50_10.xtc,141.54545454545453
8.50,pH_8.50pH_8.50_11.xtc,146.0
8.50,pH_8.50pH_8.50_12.xtc,146.72727272727272
8.50,pH_8.50pH_8.50_13.xtc,145.45454545454547
8.50,pH_8.50pH_8.50_14.xtc,145.9090909090909
8.50,pH_8.50pH_8.50_15.xtc,142.0
8.50,pH_8.50pH_8.50_16.xtc,141.8181818181818
8.50,pH_8.50pH_8.50_17.xtc,139.27272727272728
8.50,pH_8.50pH_8.50_18.xtc,140.36363636363637
8.50,pH_8.50pH_8.50_19.xtc,143.27272727272728
8.50,pH_8.50pH_8.50_20.xtc,140.45454545454547
9.00,pH_9.00pH_9.00_1.xtc,140.63636363636363
9.00,pH_9.00pH_9.00_2.xtc,142.45454545454547
9.00,pH_9.00pH_9.00_3.xtc,143.63636363636363
9.00,pH_9.00pH_9.00_4.xtc,140.8181818181818
9.00,pH_9.00pH_9.00_5.xtc,143.27272727272728
9.00,pH_9.00pH_9.00_6.xtc,137.27272727272728
9.00,pH_9.00pH_9.00_7.xtc,136.8181818181818
9.00,pH_9.00pH_9.00_8.xtc,138.0909090909091
9.00,pH_9.00pH_9.00_9.xtc,140.27272727272728
9.00,pH_9.00pH_9.00_10.xtc,141.0
9.00,pH_9.00pH_9.00_11.xtc,144.8181818181818
9.00,pH_9.00pH_9.00_12.xtc,140.9090909090909
9.00,pH_9.00pH_9.00_13.xtc,138.72727272727272
9.00,pH_9.00pH_9.00_14.xtc,142.27272727272728
9.00,pH_9.00pH_9.00_15.xtc,142.0
9.00,pH_9.00pH_9.00_16.xtc,139.45454545454547
9.00,pH_9.00pH_9.00_17.xtc,143.63636363636363
9.00,pH_9.00pH_9.00_18.xtc,142.9090909090909
9.00,pH_9.00pH_9.00_19.xtc,143.63636363636363
9.00,pH_9.00pH_9.00_20.xtc,148.63636363636363
9.50,pH_9.50pH_9.50_1.xtc,141.27272727272728
9.50,pH_9.50pH_9.50_2.xtc,141.27272727272728
9.50,pH_9.50pH_9.50_3.xtc,142.27272727272728
9.50,pH_9.50pH_9.50_4.xtc,145.0
9.50,pH_9.50pH_9.50_5.xtc,142.72727272727272
9.50,pH_9.50pH_9.50_6.xtc,142.54545454545453
9.50,pH_9.50pH_9.50_7.xtc,141.8181818181818
9.50,pH_9.50pH_9.50_8.xtc,142.27272727272728
9.50,pH_9.50pH_9.50_9.xtc,142.0
9.50,pH_9.50pH_9.50_10.xtc,140.0
9.50,pH_9.50pH_9.50_11.xtc,142.1818181818182
9.50,pH_9.50pH_9.50_12.xtc,140.0909090909091
9.50,pH_9.50pH_9.50_13.xtc,138.54545454545453
9.50,pH_9.50pH_9.50_14.xtc,136.72727272727272
9.50,pH_9.50pH_9.50_15.xtc,140.72727272727272
9.50,pH_9.50pH_9.50_16.xtc,136.8181818181818
9.50,pH_9.50pH_9.50_17.xtc,137.63636363636363
9.50,pH_9.50pH_9.50_18.xtc,137.54545454545453
9.50,pH_9.50pH_9.50_19.xtc,139.9090909090909
9.50,pH_9.50pH_9.50_20.xtc,141.27272727272728
10.00,pH_10.00pH_10.00_1.xtc,137.8181818181818
10.00,pH_10.00pH_10.00_2.xtc,141.1818181818182
10.00,pH_10.00pH_10.00_3.xtc,141.54545454545453
10.00,pH_10.00pH_10.00_4.xtc,141.0
10.00,pH_10.00pH_10.00_5.xtc,137.27272727272728
10.00,pH_10.00pH_10.00_6.xtc,137.8181818181818
10.00,pH_10.00pH_10.00_7.xtc,138.0909090909091
10.00,pH_10.00pH_10.00_8.xtc,142.0909090909091
10.00,pH_10.00pH_10.00_9.xtc,139.72727272727272
10.00,pH_10.00pH_10.00_10.xtc,142.0
10.00,pH_10.00pH_10.00_11.xtc,137.0
10.00,pH_10.00pH_10.00_12.xtc,137.9090909090909
10.00,pH_10.00pH_10.00_13.xtc,143.36363636363637
10.00,pH_10.00pH_10.00_14.xtc,139.9090909090909
10.00,pH_10.00pH_10.00_15.xtc,139.9090909090909
10.00,pH_10.00pH_10.00_16.xtc,140.0
10.00,pH_10.00pH_10.00_17.xtc,136.72727272727272
10.00,pH_10.00pH_10.00_18.xtc,136.36363636363637
10.00,pH_10.00pH_10.00_19.xtc,140.36363636363637
10.00,pH_10.00pH_10.00_20.xtc,142.1818181818182
10.50,pH_10.50pH_10.50_1.xtc,140.0909090909091
10.50,pH_10.50pH_10.50_2.xtc,146.0
10.50,pH_10.50pH_10.50_3.xtc,145.0909090909091
10.50,pH_10.50pH_10.50_4.xtc,147.54545454545453
10.50,pH_10.50pH_10.50_5.xtc,143.72727272727272
10.50,pH_10.50pH_10.50_6.xtc,141.0
10.50,pH_10.50pH_10.50_7.xtc,143.45454545454547
10.50,pH_10.50pH_10.50_8.xtc,144.27272727272728
